snapped_at,price,market_cap,total_volume
2019-01-19 00:00:00 UTC,6.150932681942888,55419305516.22985,1502945364.1596322
2019-01-20 00:00:00 UTC,6.254773812344492,56299058185.08771,1561309280.2707863
2019-01-21 00:00:00 UTC,6.066775769648914,54665283447.131325,1500493943.3455176
2019-01-22 00:00:00 UTC,6.09268435863395,54833807206.04776,1569202565.2415442
2019-01-23 00:00:00 UTC,6.1045777867581394,54941200074.71867,1341520321.8845968
2019-01-24 00:00:00 UTC,6.031377370548533,54282396328.90542,1371072782.6442952
2019-01-25 00:00:00 UTC,6.098224713825537,54884022418.33161,1181144773.472723
2019-01-26 00:00:00 UTC,6.031356461878818,54282208150.878006,1229243589.759931
2019-01-27 00:00:00 UTC,5.933807891818151,53404323352.45438,1171304959.3123724
2019-01-28 00:00:00 UTC,5.72363078090333,51562575957.24879,1376623484.8801076
2019-01-29 00:00:00 UTC,5.206550681143815,46858956125.08778,1692140680.3236032
2019-01-30 00:00:00 UTC,5.110518427057766,45940290907.322296,1493366569.9784715
2019-01-31 00:00:00 UTC,5.108834300578494,45979508700.09761,1628522444.0125039
2019-02-01 00:00:00 UTC,4.365044546927486,39297178135.591286,2482848996.453089
2019-02-02 00:00:00 UTC,4.46354322176987,40171888991.46529,2020829211.4606423
2019-02-03 00:00:00 UTC,4.46771588098434,40209442924.39134,1301099518.8190167
2019-02-04 00:00:00 UTC,4.291651561384814,38581065631.64551,1508052196.9958584
2019-02-05 00:00:00 UTC,4.263579795667452,38372218156.743484,1397968096.266059
2019-02-06 00:00:00 UTC,3.9880921483420577,35914643811.221436,1339439202.4425445
2019-02-07 00:00:00 UTC,3.8390412564592635,34551371304.294334,1312385990.123663
2019-02-08 00:00:00 UTC,4.120494322894544,37099668094.04953,1982555706.2230804
2019-02-09 00:00:00 UTC,4.359080715223318,39231726432.65078,1661957279.7917433
2019-02-10 00:00:00 UTC,4.388257729715401,39494319563.050354,1532691895.3720703
2019-02-11 00:00:00 UTC,4.390153239949464,39511379155.15502,1268951126.1905084
2019-02-12 00:00:00 UTC,4.328037922233396,38952341295.77253,1127468702.9337168
2019-02-13 00:00:00 UTC,4.321911427553918,38864355666.09926,1065949062.9160787
2019-02-14 00:00:00 UTC,4.523016343468958,40707147086.69761,1354302313.7200947
2019-02-15 00:00:00 UTC,4.66894521638489,41868481180.4258,2049750251.8226628
2019-02-16 00:00:00 UTC,4.582357941742659,41228307964.5106,2497408715.503863
2019-02-17 00:00:00 UTC,4.589148800912719,41302339203.62532,1452785430.4683793
2019-02-18 00:00:00 UTC,4.626023900429727,41642967361.54117,1490340758.7765584
2019-02-19 00:00:00 UTC,4.7368831153822555,42615312102.288345,1935002454.4868698
2019-02-20 00:00:00 UTC,4.799137683271628,43199285927.2801,1823198255.8967447
2019-02-21 00:00:00 UTC,4.888606256556381,43997456304.11882,1662793789.4417224
2019-02-22 00:00:00 UTC,4.793053845840638,43135932371.736855,1447675248.7430966
2019-02-23 00:00:00 UTC,4.882667379575335,43944006411.29535,1614665605.0790868
2019-02-24 00:00:00 UTC,5.247046463558229,47255200340.23249,2418362775.7953596
2019-02-25 00:00:00 UTC,4.68961998460352,42440233731.80857,2335830973.048636
2019-02-26 00:00:00 UTC,4.773028350206792,42957255147.0881,1667151633.4031734
2019-02-27 00:00:00 UTC,4.8000150997239786,43194315918.36689,1467491855.615955
2019-02-28 00:00:00 UTC,4.793863542208833,43264757792.34476,1517684592.1705682
2019-03-01 00:00:00 UTC,4.725924498295997,42533320479.93805,1465844999.9248672
2019-03-02 00:00:00 UTC,4.759549385909382,42874969301.23216,1566331213.8403487
2019-03-03 00:00:00 UTC,4.75482916194568,42793462452.756294,1346550847.5671296
2019-03-04 00:00:00 UTC,4.789572894155026,43217266125.71534,1492319186.7316406
2019-03-05 00:00:00 UTC,4.474347233758782,40401094856.46758,1507294429.9894156
2019-03-06 00:00:00 UTC,4.665347040716077,41988123361.77934,1634214805.3632383
2019-03-07 00:00:00 UTC,4.670724655009474,41996717894.13511,1625539512.3775725
2019-03-08 00:00:00 UTC,4.696545623963488,42263552047.388695,1701730192.8483124
2019-03-09 00:00:00 UTC,4.61225770369491,41528401490.90308,1418947870.3243403
2019-03-10 00:00:00 UTC,5.115344755552447,46038102794.85668,3097234403.9322987
2019-03-11 00:00:00 UTC,4.979072948609221,44816418668.014984,2088859203.3122666
2019-03-12 00:00:00 UTC,4.910431851601341,44187043217.582375,1745059033.4045432
2019-03-13 00:00:00 UTC,5.1081538220980365,45966357436.357155,2077224691.3613336
2019-03-14 00:00:00 UTC,5.11924642985109,46039875452.722404,2069516776.77714
2019-03-15 00:00:00 UTC,5.389541904188643,48527842693.07084,3307287857.1929655
2019-03-16 00:00:00 UTC,5.571530959447121,50143778629.45256,2643718254.6502504
2019-03-17 00:00:00 UTC,5.520210973006823,49681898751.5412,2097064404.654105
2019-03-18 00:00:00 UTC,5.592700328419045,50334380760.3299,1825792071.5631025
2019-03-19 00:00:00 UTC,5.426078920077158,48883929837.45834,2006068308.9242997
2019-03-20 00:00:00 UTC,5.40356199932354,48613389186.05773,1677729835.09502
2019-03-21 00:00:00 UTC,5.558243521545413,50024191688.35047,1910880373.150762
2019-03-22 00:00:00 UTC,5.360307972107337,48267647554.39893,2397297139.1060576
2019-03-23 00:00:00 UTC,5.432929547596854,48930114341.03839,2924949077.191189
2019-03-24 00:00:00 UTC,5.58080038378213,50229190582.45036,2072587208.0195057
2019-03-25 00:00:00 UTC,5.601384092896439,50456474961.449524,3138930079.0061173
2019-03-26 00:00:00 UTC,5.415807207366399,48783387571.58061,2123582265.5432374
2019-03-27 00:00:00 UTC,5.40434424927504,48474793632.37758,1389540921.4925764
2019-03-28 00:00:00 UTC,5.606157821707922,50461532007.93048,1977578703.50256
2019-03-29 00:00:00 UTC,5.721118345185649,51483722704.30657,3387252429.722062
2019-03-30 00:00:00 UTC,6.185130110263963,55690283406.56438,3536084693.507161
2019-03-31 00:00:00 UTC,5.940704922023541,53450865512.40062,3800751332.3225265
2019-04-01 00:00:00 UTC,6.148463380187761,55393290385.014046,2037798350.7190545
2019-04-02 00:00:00 UTC,6.349965463005488,57136850564.43275,2822712593.029091
2019-04-03 00:00:00 UTC,7.8800477823057316,70828910800.28252,5240957864.115686
2019-04-04 00:00:00 UTC,7.759240333750826,70064898645.18654,5079513003.201761
2019-04-05 00:00:00 UTC,7.428900285952424,66933634956.71836,3191362937.982052
2019-04-06 00:00:00 UTC,7.95513813624268,71537511651.41702,2417013286.766671
2019-04-07 00:00:00 UTC,7.764703727255559,70071282966.79343,3635459841.424342
2019-04-08 00:00:00 UTC,8.119108336498913,72902560013.613,1684352470.9051392
2019-04-09 00:00:00 UTC,8.357941383114857,75150190898.03212,3176559577.3005495
2019-04-10 00:00:00 UTC,8.04206788458621,72471980937.65822,3667999601.714933
